Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error
On My Skin // Sulla mia pelle,No,2018-09-12,"200,000",1:40,100000,On My Skin,On My Skin,2006.0,,18 Jun 2006,8 min,Short,Amy Andre,,Logan Gutierrez-Mock,"Exploring the reflections a mixed-race transgender man had as he traveled to his ancestral homeland, Mexico.",English,United States,,,[],,,,tt0831859,movie,,,,,True,
Quincy,Yes,2018-09-21,"300,000",2:04,100000,Quincy,Quincy,2018.0,TV-MA,21 Sep 2018,124 min,"Documentary, Biography","Alan Hicks, Rashida Jones","Alan Hicks, Rashida Jones","Quincy Jones, Rashida Jones, Kareem Abdul-Jabbar","An intimate look into the life of icon Quincy Jones. A unique force in music and popular culture for 70 years, Jones has transcended racial and cultural boundaries; his story is inextricably woven into the fabric of America.",English,United States,Nominated for 1 Primetime Emmy. 7 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZjFiYjM0OTctNzRlMy00ODcwLThiNWYtOTUwMjFlMWQxM2Q0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,7.6,"5,414",tt7440432,movie,,,,,True,
Pulang,No,2018-09-27,"100,000",1:59,100000,Pulang,Pulang,2018.0,TV-14,26 Jul 2018,120 min,"Adventure, Drama, Romance",Kabir Bhatia,"Mira Mustaffa, Ahmad Izham Omar","Remy Ishak, Puteri Aishah, Alvin Wong",PULANG is about a man from a village who sails around the world hoping for riches as his wife waits for his promised return for - 61 years.,"Malay, English",Malaysia,1 win & 12 nominations,https://m.media-amazon.com/images/M/MV5BZjM5NGI1NDMtM2ZkNC00NTJiLWI4ZTgtZDFkMzEyMDllOTAxXkEyXkFqcGdeQXVyODQ0NDE3MjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,641,tt8595708,movie,,,,,True,
Private Life,Yes,2018-10-05,"200,000",2:04,100000,Private Life,Private Life,2018.0,R,05 Oct 2018,123 min,"Comedy, Drama",Tamara Jenkins,Tamara Jenkins,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid","An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.",English,United States,1 win & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMDBlOWZmZDItYjNlZi00ZDk3LTgyZGQtYzJhNjJhZDk3MTcyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83.0,7.2,"23,186",tt5536610,movie,,,,,True,
ReMastered: Who Shot the Sheriff,Yes,2018-10-12,"100,000",0:57,100000,ReMastered: Who Shot the Sheriff,ReMastered: Who Shot the Sheriff?,2018.0,,12 Oct 2018,57 min,"Documentary, Biography, Crime",Kief Davidson,"Jeff Zimbalist, Michael Zimbalist","Bob Marley, Arnold Bertram, Cindy Breakspeare",The violent political suppression of the roots reggae movement in Jamaica told through an investigation into Jamaican politics and the CIA's involvement in the mysterious shooting of Bob Marley.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNDcxZTdjOTQtYWQwZC00OGY4LTkwNGItNDAwOTkwNjBhY2Y0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,6.9,"1,751",tt9046548,movie,,,,,True,
How to Get Over a Breakup // Soltera codiciada,Yes,2018-10-19,"200,000",1:45,100000,How to Get Over a Breakup,How to Get Over a Breakup,2018.0,TV-MA,31 May 2018,104 min,Comedy,"Bruno Ascenzo, Joanna Lombardi","María José Osorio, Mara Pescio","Gisela Ponce de León, Karina Jordán, Christopher Von Uckermann","A heartbroken ad copywriter living in Lima, Peru, is inspired to write a blog about life as a single woman and is surprised by her website's success.",Spanish,Peru,,https://m.media-amazon.com/images/M/MV5BYjhiODA1NzItNDUzYy00NWZmLWJlZTctZTU4NTg1MTE1NzVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,"2,185",tt8435268,movie,,,,,True,
Gun City // La sombra de la ley,Yes,2018-10-31,"200,000",2:06,100000,Gun City,Gun City,2018.0,TV-MA,11 Oct 2018,126 min,"Action, Adventure, Crime",Dani de la Torre,Patxi Amezcua,"Luis Tosar, Michelle Jenner, Vicente Romero",In 1921 a tough cop is sent from Madrid to Barcelona to locate stolen military weaponry.,Spanish,"Spain, France",13 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMDM4YWQwYTctMWVmZS00ZDJiLTk4MTgtNWIwYmIwMDlkOGExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",,6.3,"4,428",tt7104984,movie,,,,,True,
ReMastered: Tricky Dick & The Man in Black,Yes,2018-11-02,"100,000",0:59,100000,ReMastered: Tricky Dick & The Man in Black,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
Rajma Chawal // राजमा चावल,Yes,2018-11-30,"200,000",1:59,100000,Rajma Chawal,Rajma Chawal,2018.0,,30 Nov 2018,117 min,"Comedy, Drama, Family",Leena Yadav,"Vivek Anchalia, Manu Rishi Chadha, Leena Yadav","Rishi Kapoor, Aparshakti Khurana, Amyra Dastur",An internet-rookie father attempts to use social media to enhance his faltering relationship with his millennial son.,Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BZGUyNjQxMTItZDk1NC00NGFjLWFjZDYtM2RmYTYwYjViNThkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",,5.7,"1,987",tt6747420,movie,,,,,True,
5 Star Christmas // Natale a 5 stelle,Yes,2018-12-07,"100,000",1:36,100000,5 Star Christmas,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
ReMastered: Who Killed Jam Master Jay?,Yes,2018-12-07,"100,000",0:59,100000,ReMastered: Who Killed Jam Master Jay?,ReMastered: Who Killed Jam Master Jay?,2018.0,,12 Oct 2018,58 min,Documentary,Brian Oakes,"Jeff Zimbalist, Michael Zimbalist","Jam Master Jay, DJ Hurricane, Rahman Dukes","Run DMC's Jam Master Jay was shot and killed in a Jamaica, Queens recording studio in 2002. Despite six witnesses present at the murder, no one has ever been convicted.",,,,https://m.media-amazon.com/images/M/MV5BZmQ4NmE4NDgtYjIzYS00NjE0LWI4OTAtNjE5NWQwOTU4MWFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,910,tt9046560,movie,,,,,True,
Lionheart,Yes,2019-01-04,"200,000",1:35,100000,Lionheart,Lionheart,1990.0,R,11 Jan 1991,108 min,"Action, Crime, Drama",Sheldon Lettich,"Stefani Warren, Jean-Claude Van Damme, Sheldon Lettich","Jean-Claude Van Damme, Harrison Page, Deborah Rennard",An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,"English, French, Serbian",United States,,https://m.media-amazon.com/images/M/MV5BZDQwNjgxNmYtN2M3NS00YzhmLThiNjgtZDMzNmE4MTExNDBhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,6.2,"41,956",tt0100029,movie,,"$24,078,196",,,True,
Rock My Heart,No,2019-01-17,"100,000",1:49,100000,Rock My Heart,Rock My Heart,2017.0,TV-PG,07 Jun 2019,105 min,Drama,Hanno Olderdissen,"Clemente Fernandez-Gil, Hanno Olderdissen, Brian Cordray","Dieter Hallervorden, Lena Klenke, Emilio Sakraya","17-year-old Jana has a congenital heart defect. To defy fate, Jana seeks every challenge, plunges into every wild and dangerous adventure. Her parents do not like that and are even more fearful for their daughter.",German,Germany,1 nomination total,https://m.media-amazon.com/images/M/MV5BZDg2YzkwMmUtNWY5NS00MTBhLWJkMzEtMTFhZGViNjQ2Y2M0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,"1,295",tt5870322,movie,,,,,True,
Soni // सोनी,Yes,2019-01-18,"100,000",1:37,100000,Soni,Soni,2018.0,TV-MA,18 Jan 2019,97 min,"Crime, Drama",Ivan Ayr,"Ivan Ayr, Kislay Kislay","Geetika Vidya Ohlyan, Saloni Batra, Vikas Shukla","While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.",Hindi,India,7 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMzlkZDVjODAtYTQxMS00NGUyLWJlMWUtYjJhZmVlZjE5OWUyXkEyXkFqcGdeQXVyNjA3NzYzNzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,7.1,"2,993",tt6078866,movie,,,,,True,
Animas // Ánimas,No,2019-01-25,"100,000",1:27,100000,Animas,Animas,2000.0,,,15 min,Short,Daniel Ortiz Entrambasaguas,Daniel Ortiz Entrambasaguas,"Tony Zenet, Paul Naschy, Pepe Salas","Fredo is an actor, TV MC, writer and very famous bolero's singer. Once raining night when he goes back home .",Spanish,Spain,,https://m.media-amazon.com/images/M/MV5BMDQ4OWFlYjItYjVkMS00ZWQ2LTk3MTItNzQ0Mjc4YmJiZDdkXkEyXkFqcGdeQXVyNDM1MDAxNzg@._V1_SX300.jpg,[],,,,tt5961142,movie,,,,,True,
Velvet Buzzsaw,Yes,2019-02-01,"200,000",1:53,100000,Velvet Buzzsaw,Velvet Buzzsaw,2019.0,R,01 Feb 2019,113 min,"Horror, Mystery, Thriller",Dan Gilroy,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton","A thriller about the contemporary art scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.","English, Chinese, Italian","United States, Canada",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjExMDQ1NjMzOV5BMl5BanBnXkFtZTgwMjkxMzMyNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,5.7,"67,826",tt7043012,movie,,,,,True,
Dear Ex // 誰先愛上他的 // 谁先爱上他的,No,2019-02-01,"100,000",1:39,100000,Dear Ex,Dear Ex,2018.0,TV-MA,23 Jan 2019,100 min,"Comedy, Drama, Romance","Chih-Yen Hsu, Mag Hsu","Mag Hsu, Shih-yuan Lu","Roy Chiu, Ying-Hsuan Hsieh, Spark Chen",A teenage boy and his mother are further driven apart when they find out that his father's life insurance policy is to be received by his lover.,Mandarin,Taiwan,12 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMTBlOWY2NjMtOWM1Ny00NWY1LWI0YmQtMmY4ODYxMDVkZGUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",,7.3,"7,648",tt8443704,movie,,,,,True,
The Tree of Blood // El árbol de la sangre,Yes,2019-02-08,"200,000",2:15,100000,The Tree of Blood,The Tree of Blood,2018.0,TV-MA,08 Feb 2019,130 min,Drama,Julio Medem,"Julio Medem, Scott Page-Pagter","Álvaro Cervantes, Úrsula Corberó, Patricia López Arnaiz",Rebeca and Marc make a travel to discover their mutual family pasts in Rebeca's grandparents house.,Spanish,Spain,1 nomination total,https://m.media-amazon.com/images/M/MV5BMzY4NDFlYjEtZTFiNC00MDQzLWJkODMtMDM2YWIzNGFhODI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}]",,6.4,"3,579",tt6433832,movie,,,,,True,
River's Edge // リバーズ・エッジ,Yes,2019-02-15,"100,000",1:58,100000,River's Edge,River's Edge,1986.0,R,08 May 1987,99 min,"Crime, Drama",Tim Hunter,Neal Jimenez,"Crispin Glover, Keanu Reeves, Ione Skye","A high school slacker commits a shocking act and proceeds to let his friends in on the secret. However, the friends' reaction is almost as ambiguous and perplexing as the crime itself.",English,United States,4 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BN2NkODRkMDMtYjEyZi00ZGYxLWEzOTktNGNjOWY1ZTNjMDFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,6.9,"22,245",tt0091860,movie,,"$4,600,000",,,True,
The Breaker Upperers,No,2019-02-15,"100,000",1:22,100000,The Breaker Upperers,The Breaker Upperers,2018.0,,15 Feb 2019,90 min,Comedy,"Madeleine Sami, Jackie van Beek","Madeleine Sami, Jackie van Beek","Madeleine Sami, Jackie van Beek, James Rolleston","For the right price, BFFs Jen and Mel will ruthlessly end any romance. But when one grows a conscience, it threatens to derail their relationship.",English,New Zealand,1 nomination total,https://m.media-amazon.com/images/M/MV5BOTJiNjdhN2ItOWUyMi00NWI0LWFmNDEtYzViMjc2M2VkZWYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,5.9,"7,016",tt6728096,movie,,,,,True,
The Legend of Cocaine Island,Yes,2019-03-29,"200,000",1:27,100000,The Legend of Cocaine Island,The Legend of Cocaine Island,2018.0,TV-MA,29 Mar 2019,83 min,Documentary,Theo Love,,"Bo Butterworth, Bri Bryant, Edward Craig",A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.,English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZWI3NmQ5ZDgtNGRmNi00MTEwLWIxZDctZjhmZDA3NTUyYWE5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44.0,6.4,"3,572",tt8106596,movie,,,,,True,
Suzzanna: Buried Alive // Suzzanna: Bernapas dalam Kubur,No,2019-04-03,"300,000",2:06,100000,Suzzanna: Buried Alive,Suzzanna: Buried Alive,2018.0,TV-MA,15 Nov 2018,125 min,"Drama, Fantasy, Horror","Rocky Soraya, Anggy Umbara","Ferry Lesmana, Bene Dion Rajagukguk, Sunil Soraya","Luna Maya, Herjunot Ali, T. Rifnu Wikana","After a pregnant woman is murdered, her spirit seeks revenge against her increasingly terrified killers, who are determined to finish her off for good.",Indonesian,Indonesia,5 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNTY5OTMxN2YtY2E4OS00NjZmLTkxNmYtY2MwMWQwZWRlZWQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",,5.5,"1,198",tt9044128,movie,,,,,True,
Unicorn Store,Yes,2019-04-05,"100,000",1:32,100000,Unicorn Store,Unicorn Store,2017.0,TV-PG,05 Apr 2019,92 min,"Comedy, Drama, Fantasy",Brie Larson,Samantha McIntyre,"Brie Larson, Samuel L. Jackson, Joan Cusack","Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjUyMTY2OTkwMF5BMl5BanBnXkFtZTgwODEyODA3NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44.0,5.6,"21,291",tt2338454,movie,,,,,True,
Grass Is Greener,Yes,2019-04-20,"100,000",1:38,100000,Grass Is Greener,Grass is Greener,2019.0,TV-MA,20 Apr 2019,97 min,Documentary,Fab 5 Freddy,,"Harry J. Anslinger, Louis Armstrong, B-Real",A look at America's complicated relationship with cannabis.,,,,https://m.media-amazon.com/images/M/MV5BMjk4YTdiYjItYjU4Yi00ZGMzLTllYjktYTVlZGZmNjcyYzk0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.1,"1,579",tt10050782,movie,,,,,True,
Aurora,No,2019-04-25,"100,000",1:38,100000,Aurora,Aurora,2010.0,Not Rated,29 Jun 2011,181 min,Drama,Cristi Puiu,Cristi Puiu,"Afrodita Andone, Geo Aur, Andrei Barbu",Viorel a 42 year old man troubled by obscure thoughts drives across the city to a destination known only to him.,Romanian,"Romania, France, Switzerland, Germany",7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMjIyNTQzMDY4MV5BMl5BanBnXkFtZTcwNTI5MjU1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,6.5,"2,106",tt1403047,movie,,"$5,677",,,True,
Munafik 2,No,2019-05-01,"200,000",1:44,100000,Munafik 2,Munafik 2,2018.0,,29 Aug 2018,104 min,"Horror, Mystery, Thriller",Syamsul Yusof,Syamsul Yusof,"Syamsul Yusof, Maya Karin, Nasir Bilal Khan","Haunted by terrifying visions, a Muslim healer finds his faith tested when he helps a woman locked in battle, body and soul, with a diabolical leader.",Malay,Malaysia,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BODg1OTgzZjUtZTQxYi00OTQ0LWFhN2UtZDRhZTBlMDBiZDQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,"1,911",tt7059506,movie,,,,,True,
Dry Martina,Yes,2019-05-10,"200,000",1:40,100000,Dry Martina,Dry Martina,2018.0,,15 Mar 2019,95 min,"Comedy, Drama",Che Sandoval,Che Sandoval,"Antonella Costa, Patricio Contreras, Geraldine Neary","Martina was a famous singer in Argentina during the late 90s, who's become completely frigid and disenchanted with love. The arrival of a so-called sister, alongside her attractive boyfriend, compel Martina to go to Chile with one...",Spanish,"Chile, Argentina",6 nominations,https://m.media-amazon.com/images/M/MV5BMmFhMzUwMjItYzFkYi00NzljLWIwMTAtNjJhNGM2MjMwOGJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",,5.8,"1,172",tt6312802,movie,,,,,True,
Shéhérazade,No,2019-05-10,"100,000",1:51,100000,Shéhérazade,Shéhérazade,2018.0,TV-MA,17 May 2019,109 min,"Drama, Romance, Thriller",Jean-Bernard Marlin,"Jean-Bernard Marlin, Catherine Paillé","Dylan Robert, Kenza Fortas, Idir Azougli","Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. This is where he meets Shéhérazade.",French,France,9 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BYzY2YjYwMjMtMjM0ZC00ODI1LWIwZmYtYWFhMjAxMWVjMDMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,7.1,"2,742",tt8459250,movie,,,,,True,
Booksmart,No,2019-05-23,"100,000",1:43,100000,Booksmart,Booksmart,2019.0,R,24 May 2019,102 min,Comedy,Olivia Wilde,"Emily Halpern, Sarah Haskins, Susanna Fogel","Kaitlyn Dever, Beanie Feldstein, Jessica Williams","On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into o...","English, Mandarin, French, Spanish",United States,Nominated for 1 BAFTA Award29 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BMjEzMjcxNjA2Nl5BMl5BanBnXkFtZTgwMjAxMDM2NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84.0,7.1,"137,443",tt1489887,movie,,"$22,680,962",,,True,
Pachamama,No,2019-06-07,"100,000",1:12,100000,Pachamama,Pachamama,2018.0,PG,12 Dec 2018,72 min,"Animation, Adventure, Family",Juan Antin,"Juan Antin, Patricia Valeix, Olivier de Bannes","Andrea Santamaria, India Coenen, Saïd Amadis",A young boy living in a remote village in the Andes Mountains dreams of becoming shaman.,"English, French","France, Luxembourg, Canada",3 nominations,https://m.media-amazon.com/images/M/MV5BNmEzZDQ2MTItNWNmZS00ZmU0LWEzMTUtODkyNjU5ZmIyYTAwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,"1,019",tt5541002,movie,,,,,True,
The Black Godfather,Yes,2019-06-07,"100,000",1:58,100000,The Black Godfather,The Black Godfather,2019.0,TV-MA,07 Jun 2019,118 min,"Documentary, Biography",Reginald Hudlin,,"Clarence Avant, Hank Aaron, Gwen Adolph","Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.",English,United States,Nominated for 1 Primetime Emmy. 4 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNzdhOWNkMzEtYjRmYS00ZjdjLWE3MDctMzNjMmRmOGVkODJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,7.5,"1,591",tt10289996,movie,,,,,True,
Blood Will Tell // La misma sangre,No,2019-06-21,"200,000",1:53,100000,Blood Will Tell,Blood Will Tell,2019.0,TV-MA,21 Jun 2019,113 min,"Drama, Mystery, Thriller",Miguel Cohan,"Ana Cohan, Miguel Cohan","Oscar Martínez, Dolores Fonzi, Diego Velázquez",A thriller by film director-writer Miguel Cohan. A deadly duel within a family where there can be no winners.,Spanish,"Argentina, United States",,https://m.media-amazon.com/images/M/MV5BNTVjMGVkMjMtZmU2ZS00M2M5LWFhZmItYmZjMGEwOWNkYjI4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,905,tt5687236,movie,,,,,True,
4L // 4 latas,No,2019-07-12,"200,000",1:45,100000,4L,4L,2019.0,TV-MA,01 Mar 2019,105 min,"Comedy, Drama",Gerardo Olivares,"Gerardo Olivares, Maria Jesus Petrement, Chema Rodríguez","Jean Reno, Hovik Keuchkerian, Susana Abaitua","Tocho, Jean Pierre and Ely travel from Spain to Mali to meet Ely's dying father for the last time.","Spanish, French, Afrikaans",Spain,,https://m.media-amazon.com/images/M/MV5BOTI4MTUzNjEtODlkMC00MjA1LWFhYWMtNjhlMzE4YmU0NTYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",,5.9,"3,656",tt8242160,movie,,,,,True,
The Great Hack,Yes,2019-07-24,"200,000",1:54,100000,The Great Hack,The Great Hack,2019.0,TV-MA,24 Jul 2019,114 min,"Documentary, Biography, History","Karim Amer, Jehane Noujaim","Pedro Kos, Erin Barnett, Karim Amer","Brittany Kaiser, David Carroll, Paul-Olivier Dehaye",The Cambridge Analytica scandal is examined through the roles of several affected persons.,English,United States,Nominated for 1 Primetime Emmy. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZDhmODFlMTQtYzU0YS00YTg4LWEyMTctZmRkZWYxMzgxMDFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.0,7.0,"25,393",tt4736550,movie,,,,,True,
Rocko's Modern Life: Static Cling,Yes,2019-08-08,"100,000",0:46,100000,Rocko's Modern Life: Static Cling,Rocko's Modern Life: Static Cling,2019.0,TV-Y7,09 Aug 2019,45 min,"Animation, Action, Adventure","Joe Murray, Cosmo Segurson, Mr. Lawrence","Joe Murray, Mr. Lawrence, Martin Olson","Carlos Alazraqui, Tom Kenny, Charlie Adler","After being in space for 20 years, Rocko and his friends attempt to adjust to an even more modern life in the 21st century. However, when he learns that his favorite 90s cartoon isn't on the air anymore, Rocko tries locating its c...",English,"United States, South Korea",1 nomination,https://m.media-amazon.com/images/M/MV5BZjBjY2QyNzYtMjVlOC00NWQwLWE2N2EtZDY1OGRmMmI1ZTA4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",,6.9,"4,212",tt6172460,movie,,,,,True,
Jaoon Kahan Bata Ae Dil // जाऊं कहां बता ऐ दिल,Yes,2019-08-09,"100,000",1:47,100000,Jaoon Kahan Bata Ae Dil,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
Back to School // La Grande Classe,Yes,2019-08-30,"200,000",1:24,100000,Back to School,Back to School,1986.0,PG-13,13 Jun 1986,96 min,"Comedy, Romance, Sport",Alan Metter,"Steven Kampmann, William Porter, PJ Torokvei","Rodney Dangerfield, Sally Kellerman, Burt Young","To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.",English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMGFhMzM3MDYtNzU2Mi00MTczLWIzOGMtNzU0NjZiYjQ3NWU5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,6.7,"38,008",tt0090685,movie,,"$91,258,000",,,True,
Modest Heroes: Ponoc Short Films Theatre // ポノック短編劇場・ちいさな英雄,Yes,2019-09-06,"100,000",0:54,100000,Modest Heroes: Ponoc Short Films Theatre,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
